id;name;power;discription;price;categories_id;country
101;Бойлер косвенного нагрева SN P 080 Kospel;80;монтаж-напольный, вертикальный. Теплообменник змеевик с правой стороны. Объем 80л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;177755;10;Польша
102;Бойлер косвенного нагрева SN P 100 Kospel;100;монтаж-напольный, вертикальный. Теплообменник змеевик с правой стороны. Объем 100л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;181830;10;Польша
103;Бойлер косвенного нагрева SN P 120 Kospel;120;монтаж-напольный, вертикальный. Теплообменник змеевик с правой стороны. Объем 120л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 978×460х460мм. Гарантия 6 лет ;188784;10;Польша
104;Бойлер косвенного нагрева SWK 100.A Kospel;100;монтаж напольный, вертикальный. Теплообмениик змеевик, патрубки вверху для монтажа под настенным котлом. Объем 100л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 906x595x595мм. Гарантия 6 лет ;282682;10;Польша
105;Бойлер косвенного нагрева SWK 120.A Kospel;120;монтаж напольный, вертикальный. Теплообмениик змеевик, патрубки вверху для монтажа под настенным котлом. Объем 120л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 906x595x595мм. Гарантия 6 лет ;290197;10;Польша
106;Бойлер косвенного нагрева SWK 140.A Kospel;140;монтаж напольный, вертикальный. Теплообмениик змеевик, патрубки вверху для монтажа под настенным котлом. Объем 140л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 906x595x595мм. Гарантия 6 лет ;295151;10;Польша
107;Бойлер косвенного нагрева SV 200 Kospel;200;буферный бак для хранения тепла. Объем 200л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1610х595х595мм. Гарантия 6 лет ;307311;10;Польша
108;Бойлер косвенного нагрева SV 300 Kospel;300;буферный бак для хранения тепла. Объем 300л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1610х595х595мм. Гарантия 6 лет ;358886;10;Польша
109;Бойлер косвенного нагрева SV 400 Kospel;400;буферный бак для хранения тепла. Объем 400л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1610х595х595мм. Гарантия 6 лет ;483455;10;Польша
110;Бойлер косвенного нагрева SV 500 Kospel;500;буферный бак для хранения тепла. Объем 500л. Материалл внутреннего бака-эмаль. Габариты(ВхШхГ): 1610х595х595мм. Гарантия 6 лет ;507894;10;Польша
111;Настенный котел ISI W 20;20;Max мощность, кВт-20. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;299739;1;Китай
112;Настенный котел ISI W 24;24;Max мощность, кВт-24. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;309680;1;Китай
113;Настенный котел ISI W 28;28;Max мощность, кВт-28. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.#;344088;1;Китай
114;Настенный котел ISI W 32;32;Max мощность, кВт-32. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;386144;1;Китай
115;Настенный котел ISI W 40;40;Max мощность, кВт-40. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;416728;1;Китай
116;Настенный газовый котел РоссTherm 16KW;16;Max мощность, кВт-20. Количество контуров- 1. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;256919;1;Китай
117;Настенный газовый котел РоссTherm 20KW;20;Max мощность, кВт-20. Количество контуров- 1. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;258449;1;Китай
118;Настенный котел РоссTherm 18 kw;18;Max мощность, кВт-18. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;258449;1;Китай
119;Настенный котел РоссTherm 24 kw;24;Max мощность, кВт-24. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;266094;1;Китай
120;Настенный котел РоссTherm 30 kw;30;Max мощность, кВт-30. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;310444;1;Китай
121;Настенный котел РоссTherm 35 kw;35;Max мощность, кВт-35. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;371616;1;Китай
122;Настенный котел РоссTherm 40 kw;40;Max мощность, кВт-40. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;389967;1;Китай
123;Настенный котел РоссTherm 46 kw;46;Max мощность, кВт-46. Режим работы-Отопление/ГВС. Габариты (ВхШхГ), мм-742х440х344. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;466431;1;Китай
124;Напольный газовый котел Житомир КС-ГО 07СН;7;Мощность номинальная-7 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 70кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;193394;2;Украина
125;Напольный газовый котел Житомир ГО 12СН;12;Мощность номинальная-12 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 120кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;234121;2;Украина
126;Напольный газовый котел ЖитомирГО 15СН;15;Мощность номинальная-15 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 150кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;274893;2;Украина
